在	在	zài	at; in; on	Prep	Duplicate:Front NPCR_book_1_lesson_10
做	做	zuò	do; make	V	Duplicate:Front NPCR_book_1_lesson_10
要	要	yào	want	V	Duplicate:Front NPCR_book_1_lesson_10
先生	先生	xiānsheng	Mr.; sir	N	Duplicate:Front NPCR_book_1_lesson_10
音樂	音乐	yīnyuè	music	N	Duplicate:Front NPCR_book_1_lesson_10
對不起	对不起	duìbuqǐ	I'm sorry	IE	Duplicate:Front NPCR_book_1_lesson_10
葡萄	葡萄	pútao	grape	N	Duplicate:Front NPCR_book_1_lesson_10
會	会	huì	know how to, can	OpV	Duplicate:Front NPCR_book_1_lesson_11
上	上	shàng	ascend; go to	V	Duplicate:Front NPCR_book_1_lesson_11
晚	晚	wǎn	late	A	Duplicate:Front NPCR_book_1_lesson_11
晚上	晚上	wǎnshang	evening, night	N	Duplicate:Front NPCR_book_1_lesson_11
教	教	jiāo	teach	V	Duplicate:Front NPCR_book_1_lesson_11
昨天	昨天	zuótiān	yesterday	N	Duplicate:Front NPCR_book_1_lesson_11
還	还	hái	still	Adv	Duplicate:Front NPCR_book_1_lesson_11
可以	可以	kěyǐ	may	OpV	Duplicate:Front NPCR_book_1_lesson_11
陳	陈	chén	a surname	PN	Duplicate:Front NPCR_book_1_lesson_11
打球	打球	dǎqiú	play ball	VO	Duplicate:Front NPCR_book_1_lesson_11
要	要	yào	must, want to do something	OpV	Duplicate:Front NPCR_book_1_lesson_12
號	号	hào	number	N	Duplicate:Front NPCR_book_1_lesson_12
給	给	gěi	to; for	Prep	Duplicate:Front NPCR_book_1_lesson_12
宿舍	宿舍	sùshè	dormitory	N	Duplicate:Front NPCR_book_1_lesson_13
吃飯	吃饭	chīfàn	eat (a meal)	VO	Duplicate:Front NPCR_book_1_lesson_13
咖啡	咖啡	kāfēi	coffee	N	Duplicate:Front NPCR_book_1_lesson_13
想	想	xiǎng	miss; remember with longing	V	Duplicate:Front NPCR_book_1_lesson_14
生	生	shēng	new	A	Duplicate:Front NPCR_book_1_lesson_14
禮物	礼物	lǐwù	present; gift	N	Duplicate:Front NPCR_book_1_lesson_14
外婆	外婆	wàipó	maternal grandmother	N	Duplicate:Front NPCR_book_1_lesson_14
嗎	吗	ma	(a particle used for questions expecting a yes-no answer)	QPt	Duplicate:Front NPCR_book_1_lesson_2
呢	呢	ne	(a modal particle used for elliptical questions)	MdPt	Duplicate:Front NPCR_book_1_lesson_2
他	他	tā	he; him	Pr	Duplicate:Front NPCR_book_1_lesson_3
都	都	dōu	both; all	Adv	Duplicate:Front NPCR_book_1_lesson_3
你	你	nǐ	you	Pr	Duplicate:Front NPCR_book_1_lesson_3
您	您	nín	you (polite form)	Pr	Duplicate:Front NPCR_book_1_lesson_4
朋友	朋友	péngyou	friend	N	Duplicate:Front NPCR_book_1_lesson_4
進	进	jìn	to enter	V	Duplicate:Front NPCR_book_1_lesson_5
請問	请问	qǐngwèn	May I ask...?	V	Duplicate:Front NPCR_book_1_lesson_5
問	问	wèn	to ask	V	Duplicate:Front NPCR_book_1_lesson_5
學生	学生	xuésheng	student	N	Duplicate:Front NPCR_book_1_lesson_5
這	这	zhè	this	Pr	Duplicate:Front NPCR_book_1_lesson_5
我	我	wǒ	I; me	Pr	Duplicate:Front NPCR_book_1_lesson_5
好	好	hǎo	good; well; fine; O.K.	A	Duplicate:Front NPCR_book_1_lesson_5
忙	忙	máng	busy	A	Duplicate:Front NPCR_book_1_lesson_6
謝謝	谢谢	xièxiè	to thank	V	Duplicate:Front NPCR_book_1_lesson_6
什麼	什么	shénme	what	QPr	Duplicate:Front NPCR_book_1_lesson_6
誰	谁	shéi	who	QPr	Duplicate:Front NPCR_book_1_lesson_7
問	问	wèn	to ask	V	Duplicate:Front NPCR_book_1_lesson_7
很	很	hěn	very	Adv	Duplicate:Front NPCR_book_1_lesson_7
高興	高兴	gāoxìng	happy; pleased	A	Duplicate:Front NPCR_book_1_lesson_7
學院	学院	xuéyuàn	institute	N	Duplicate:Front NPCR_book_1_lesson_7
來	来	lái	to come	V	Duplicate:Front NPCR_book_1_lesson_7
美國	美国	měiguó	the United States	PN	Duplicate:Front NPCR_book_1_lesson_7
爸爸	爸爸	bàbà	dad	N	Duplicate:Front NPCR_book_1_lesson_7
加拿大	加拿大	jiānádà	Canada	PN	Duplicate:Front NPCR_book_1_lesson_7
學習	学习	xuéxí	to learn; to study	V	Duplicate:Front NPCR_book_1_lesson_7
馬大為	马大为	mǎ dàwéi	(name of an American student)	PN	Duplicate:Front NPCR_book_1_lesson_7
張	张	zhāng	flat objects	M	Duplicate:Front NPCR_book_1_lesson_8
弟弟	弟弟	dìdi	younger brother	N	Duplicate:Front NPCR_book_1_lesson_8
男	男	nán	male	A	Duplicate:Front NPCR_book_1_lesson_8
王小雲	王小云	wáng xiǎoyún	name of a Chinese student	PN	Duplicate:Front NPCR_book_1_lesson_8
外語	外语	wàiyǔ	foreign language	N	Duplicate:Front NPCR_book_1_lesson_8
怎麼樣	怎么样	zěnmeyàng	how is ..., what is ... like	QPr	Duplicate:Front NPCR_book_1_lesson_9
今天	今天	jīntiān	today	N	Duplicate:Front NPCR_book_1_lesson_9
號	号	hào	day of the month	N	Duplicate:Front NPCR_book_1_lesson_9
宋華	宋华	sòng huá	name of a Chinese student	PN	Duplicate:Front NPCR_book_1_lesson_9
再	再	zài	again	Adv	Duplicate:Front NPCR_book_1_lesson_9
大	大	dà	old (in reference to a person)	A	Duplicate:Front NPCR_book_1_lesson_9
了	了	le	modal or aspect particle	Pt	Duplicate:Front NPCR_book_1_lesson_9
多	多	duō	how	Adv	Duplicate:Front NPCR_book_1_lesson_9
喝	喝	hē	drink	V	Duplicate:Front NPCR_book_1_lesson_9
得	得	děi	need; must; have to	OpV	Duplicate:Front NPCR_book_2_lesson_15
少	少	shǎo	few; little	A	Duplicate:Front NPCR_book_2_lesson_15
得	得	de	(structural particle)	StPt	Duplicate:Front NPCR_book_2_lesson_15
該	该	gāi	to be somone's turn to do something	V	Duplicate:Front NPCR_book_2_lesson_15
元	元	yuán	(measure word for Chinese currency kuai)	M	Duplicate:Front NPCR_book_2_lesson_15
下	下	xià	go down; get off/next	V, N	Duplicate:Front NPCR_book_2_lesson_16
生活	生活	shēnghuó	live/life	V, N	Duplicate:Front NPCR_book_2_lesson_16
上	上	shàng	go up; get on/last; previous	V, N	Duplicate:Front NPCR_book_2_lesson_16
還	还	huán	give back; return	V	Duplicate:Front NPCR_book_2_lesson_16
過	过	guò	pass	V	Duplicate:Front NPCR_book_2_lesson_16
電腦	电脑	diànnǎo	computer	N	Duplicate:Front NPCR_book_2_lesson_16
出	出	chū	go or come out	V	Duplicate:Front NPCR_book_2_lesson_16
電	电	diàn	electricity	N	Duplicate:Front NPCR_book_2_lesson_16
孩子	孩子	háizi	child	N	Duplicate:Front NPCR_book_2_lesson_16
新	新	xīn	new	A	Duplicate:Front NPCR_book_2_lesson_16
賣	卖	mài	sell	V	Duplicate:Front NPCR_book_2_lesson_17
沒關係	没关系	méi guānxi	never mind; it doesn't matter	IE	Duplicate:Front NPCR_book_2_lesson_17
商	商	shāng	commerce; business	N	Duplicate:Front NPCR_book_2_lesson_17
紅	红	hóng	red	A	Duplicate:Front NPCR_book_2_lesson_17
開始	开始	kāishǐ	start; begin	V	Duplicate:Front NPCR_book_2_lesson_17
差	差	chà	not up to standard; poor; bad	A	Duplicate:Front NPCR_book_2_lesson_17
高	高	gāo	high; tall	A	Duplicate:Front NPCR_book_2_lesson_17
合適	合适	héshì	suitable; appropriate; right	A	Duplicate:Front NPCR_book_2_lesson_17
售貨員	售货员	shòuhuòyuán	shop assistant; salesclerk	N	Duplicate:Front NPCR_book_2_lesson_17
便宜	便宜	piányi	cheap	A	Duplicate:Front NPCR_book_2_lesson_17
套	套	tào	set; suit; suite	M	Duplicate:Front NPCR_book_2_lesson_17
錶	表	biǎo	watch	N	Duplicate:Front NPCR_book_2_lesson_17
詞典	词典	cídiǎn	dictionary	N	Duplicate:Front NPCR_book_2_lesson_18
英文	英文	yīngwén	English (language)	N	Duplicate:Front NPCR_book_2_lesson_18
車	车	chē	vehicle	N	Duplicate:Front NPCR_book_2_lesson_18
包裹	包裹	bāoguǒ	parcel; package	N	Duplicate:Front NPCR_book_2_lesson_18
兒子	儿子	érzi	son	N	Duplicate:Front NPCR_book_2_lesson_18
家	家	jiā	specialist	N	Duplicate:Front NPCR_book_2_lesson_19
京劇	京剧	jīngjù	Beijing opera	N	Duplicate:Front NPCR_book_2_lesson_19
孩子	孩子	háizi	child; children	N	Duplicate:Front NPCR_book_2_lesson_19
布	布	bù	cloth	N	Duplicate:Front NPCR_book_2_lesson_19
美	美	měi	beautiful	A	Duplicate:Front NPCR_book_2_lesson_19
書店	书店	shūdiàn	bookstore	N	Duplicate:Front NPCR_book_2_lesson_19
教育	教育	jiàoyù	teach; educate	V	Duplicate:Front NPCR_book_2_lesson_19
西	西	xī	west	N	Duplicate:Front NPCR_book_2_lesson_20
愛	爱	ài	love	V	Duplicate:Front NPCR_book_2_lesson_20
熱	热	rè	hot	A	Duplicate:Front NPCR_book_2_lesson_20
開車	开车	kāichē	drive a car	VO	Duplicate:Front NPCR_book_2_lesson_20
開	开	kāi	drive; operate	V	Duplicate:Front NPCR_book_2_lesson_20
過去	过去	guòqù	in or of the past	N	Duplicate:Front NPCR_book_2_lesson_20
條	条	tiáo	(measure word for long, narrow, flexible objects like pants, skirts and snakes)	M	Duplicate:Front NPCR_book_2_lesson_20
球	球	qiú	ball	N	Duplicate:Front NPCR_book_2_lesson_21
記者	记者	jìzhě	reporter	N	Duplicate:Front NPCR_book_2_lesson_21
足	足	zú	foot	N	Duplicate:Front NPCR_book_2_lesson_21
隊	队	duì	team	N	Duplicate:Front NPCR_book_2_lesson_21
書店	书店	shūdiàn	bookstore	N	Duplicate:Front NPCR_book_2_lesson_21
遠	远	yuǎn	far	A	Duplicate:Front NPCR_book_2_lesson_21
臥室	卧室	wòshì	bedroom	N	Duplicate:Front NPCR_book_2_lesson_21
客廳	客厅	kètīng	living room	N	Duplicate:Front NPCR_book_2_lesson_21
上	上	shàng	upper; up	N	Duplicate:Front NPCR_book_2_lesson_21
下	下	xià	down; under	N	Duplicate:Front NPCR_book_2_lesson_21
城市	城市	chéngshì	city	N	Duplicate:Front NPCR_book_2_lesson_21
演	演	yǎn	act; perform; play	V	Duplicate:Front NPCR_book_2_lesson_22
遍	遍	biàn	number of times	M	Duplicate:Front NPCR_book_2_lesson_22
排	排	pái	line; row	N	Duplicate:Front NPCR_book_2_lesson_22
打的	打的	dǎdī	take a taxi	VO	Duplicate:Front NPCR_book_2_lesson_22
見	见	jiàn	see; meet with	V	Duplicate:Front NPCR_book_2_lesson_22
過	过	guo	(indicating a past experience)	AsPt	Duplicate:Front NPCR_book_2_lesson_22
難	难	nán	difficult; hard	A	Duplicate:Front NPCR_book_2_lesson_22
聰明	聪明	cōngming	clever; bright	A	Duplicate:Front NPCR_book_2_lesson_22
燒	烧	shāo	burn	V	Duplicate:Front NPCR_book_2_lesson_22
以前	以前	yǐqián	before; ago; previously; formerly	N	Duplicate:Front NPCR_book_2_lesson_22
地方	地方	dìfang	place; region	N	Duplicate:Front NPCR_book_2_lesson_22
提	提	tí	put forward; raise	V	Duplicate:Front NPCR_book_2_lesson_23
機	机	jī	machine	N	Duplicate:Front NPCR_book_2_lesson_23
條	条	tiáo	strip; long narrow piece; (measure word for rivers, dragons, pants, fish)	M	Duplicate:Front NPCR_book_2_lesson_23
游泳	游泳	yóuyǒng	swim	V	Duplicate:Front NPCR_book_2_lesson_23
山	山	shān	hill; mountain	N	Duplicate:Front NPCR_book_2_lesson_23
起	起	qǐ	rise; get up	V	Duplicate:Front NPCR_book_2_lesson_23
站	站	zhàn	stand	V	Duplicate:Front NPCR_book_2_lesson_23
游	游	yóu	travel	V	Duplicate:Front NPCR_book_2_lesson_23
行	行	xíng	to be O.K.	V	Duplicate:Front NPCR_book_2_lesson_23
死	死	sǐ	die	V	Duplicate:Front NPCR_book_2_lesson_23
在	在	zài	(used to indicate an action in progress)	Adv	Duplicate:Front NPCR_book_2_lesson_24
菜	菜	cài	food; dish; vegetable	N	Duplicate:Front NPCR_book_2_lesson_24
上	上	shàng	be engaged in (work, study) at a fixed time	V	Duplicate:Front NPCR_book_2_lesson_24
種	种	zhòng	grow; to plant	V	Duplicate:Front NPCR_book_2_lesson_24
像	像	xiàng	to be alike; to take after	V	Duplicate:Front NPCR_book_2_lesson_24
城市	城市	chéngshì	city	N	Duplicate:Front NPCR_book_2_lesson_24
